var_base,table,worker_type,sex,row_number,occupation_label,occupation_level,is_median_earnings_row
S2411_C04_017,S2411,All civilian workers,Female % of Male,017,Health technologists and technicians,Ratio,False
S2411_C04_018,S2411,All civilian workers,Female % of Male,018,Service occupations,Ratio,False
S2411_C04_019,S2411,All civilian workers,Female % of Male,019,Healthcare support occupations,Ratio,False
S2411_C04_020,S2411,All civilian workers,Female % of Male,020,Protective service occupations,Ratio,False
S2411_C04_021,S2411,All civilian workers,Female % of Male,021,"Firefighting and prevention, and other protective service workers including supervisors",Ratio,False
S2411_C04_022,S2411,All civilian workers,Female % of Male,022,Law enforcement workers including supervisors,Ratio,False
S2411_C04_023,S2411,All civilian workers,Female % of Male,023,Food preparation and serving related occupations,Ratio,False
S2411_C04_024,S2411,All civilian workers,Female % of Male,024,Building and grounds cleaning and maintenance occupations,Ratio,False
S2411_C04_025,S2411,All civilian workers,Female % of Male,025,Personal care and service occupations,Ratio,False
S2411_C04_026,S2411,All civilian workers,Female % of Male,026,Sales and office occupations,Ratio,False
S2411_C04_027,S2411,All civilian workers,Female % of Male,027,Sales and related occupations,Ratio,False
S2411_C04_028,S2411,All civilian workers,Female % of Male,028,Office and administrative support occupations,Ratio,False
S2411_C04_029,S2411,All civilian workers,Female % of Male,029,"Natural resources, construction, and maintenance occupations",Ratio,False
S2411_C04_030,S2411,All civilian workers,Female % of Male,030,"Farming, fishing, and forestry occupations",Ratio,False
S2411_C04_031,S2411,All civilian workers,Female % of Male,031,Construction and extraction occupations,Ratio,False
S2411_C04_032,S2411,All civilian workers,Female % of Male,032,"Installation, maintenance, and repair occupations",Ratio,False
S2411_C04_033,S2411,All civilian workers,Female % of Male,033,"Production, transportation, and material moving occupations",Ratio,False
S2411_C04_034,S2411,All civilian workers,Female % of Male,034,Production occupations,Ratio,False
S2411_C04_035,S2411,All civilian workers,Female % of Male,035,Transportation occupations,Ratio,False
S2411_C04_036,S2411,All civilian workers,Female % of Male,036,Material moving occupations,Ratio,False
S2412_C01_001,S2412,"Full-time, year-round",Total,001,"Full-time, year-round civilian employed population 16 years and over with earnings",Total,True
S2412_C01_002,S2412,"Full-time, year-round",Total,002,"Management, business, science, and arts occupations",Subtotal,True
S2412_C01_003,S2412,"Full-time, year-round",Total,003,"Management, business, and financial occupations",Subtotal,True
S2412_C01_004,S2412,"Full-time, year-round",Total,004,Management occupations,Detail,True
S2412_C01_005,S2412,"Full-time, year-round",Total,005,Business and financial operations occupations,Detail,True
S2412_C01_006,S2412,"Full-time, year-round",Total,006,"Computer, engineering, and science occupations",Subtotal,True
S2412_C01_007,S2412,"Full-time, year-round",Total,007,Computer and mathematical occupations,Detail,True
S2412_C01_008,S2412,"Full-time, year-round",Total,008,Architecture and engineering occupations,Detail,True
S2412_C01_009,S2412,"Full-time, year-round",Total,009,"Life, physical, and social science occupations",Detail,True
S2412_C01_010,S2412,"Full-time, year-round",Total,010,"Education, legal, community service, arts, and media occupations",Subtotal,True
S2412_C01_011,S2412,"Full-time, year-round",Total,011,Community and social service occupations,Detail,True
S2412_C01_012,S2412,"Full-time, year-round",Total,012,Legal occupations,Detail,True
S2412_C01_013,S2412,"Full-time, year-round",Total,013,"Educational instruction, and library occupations",Detail,True
S2412_C01_014,S2412,"Full-time, year-round",Total,014,"Arts, design, entertainment, sports, and media occupations",Detail,True
S2412_C01_015,S2412,"Full-time, year-round",Total,015,Healthcare practitioners and technical occupations,Subtotal,True
S2412_C01_016,S2412,"Full-time, year-round",Total,016,Health diagnosing and treating practitioners and other technical occupations,Detail,True
S2412_C01_017,S2412,"Full-time, year-round",Total,017,Health technologists and technicians,Detail,True
S2412_C01_018,S2412,"Full-time, year-round",Total,018,Service occupations,Subtotal,True
S2412_C01_019,S2412,"Full-time, year-round",Total,019,Healthcare support occupations,Subtotal,True
S2412_C01_020,S2412,"Full-time, year-round",Total,020,Protective service occupations,Subtotal,True
S2412_C01_021,S2412,"Full-time, year-round",Total,021,"Firefighting and prevention, and other protective service workers including supervisors",Detail,True
S2412_C01_022,S2412,"Full-time, year-round",Total,022,Law enforcement workers including supervisors,Detail,True
S2412_C01_023,S2412,"Full-time, year-round",Total,023,Food preparation and serving related occupations,Subtotal,True
S2412_C01_024,S2412,"Full-time, year-round",Total,024,Building and grounds cleaning and maintenance occupations,Subtotal,True
S2412_C01_025,S2412,"Full-time, year-round",Total,025,Personal care and service occupations,Subtotal,True
S2412_C01_026,S2412,"Full-time, year-round",Total,026,Sales and office occupations,Subtotal,True
S2412_C01_027,S2412,"Full-time, year-round",Total,027,Sales and related occupations,Subtotal,True
S2412_C01_028,S2412,"Full-time, year-round",Total,028,Office and administrative support occupations,Subtotal,True
S2412_C01_029,S2412,"Full-time, year-round",Total,029,"Natural resources, construction, and maintenance occupations",Subtotal,True
S2412_C01_030,S2412,"Full-time, year-round",Total,030,"Farming, fishing, and forestry occupations",Subtotal,True
S2412_C01_031,S2412,"Full-time, year-round",Total,031,Construction and extraction occupations,Subtotal,True
S2412_C01_032,S2412,"Full-time, year-round",Total,032,"Installation, maintenance, and repair occupations",Subtotal,True
S2412_C01_033,S2412,"Full-time, year-round",Total,033,"Production, transportation, and material moving occupations",Subtotal,True
S2412_C01_034,S2412,"Full-time, year-round",Total,034,Production occupations,Subtotal,True
S2412_C01_035,S2412,"Full-time, year-round",Total,035,Transportation occupations,Subtotal,True
S2412_C01_036,S2412,"Full-time, year-round",Total,036,Material moving occupations,Subtotal,True
S2412_C02_001,S2412,"Full-time, year-round",Male,001,"Full-time, year-round civilian employed population 16 years and over with earnings",Total,True
S2412_C02_002,S2412,"Full-time, year-round",Male,002,"Management, business, science, and arts occupations",Subtotal,True
S2412_C02_003,S2412,"Full-time, year-round",Male,003,"Management, business, and financial occupations",Subtotal,True
S2412_C02_004,S2412,"Full-time, year-round",Male,004,Management occupations,Detail,True
S2412_C02_005,S2412,"Full-time, year-round",Male,005,Business and financial operations occupations,Detail,True
S2412_C02_006,S2412,"Full-time, year-round",Male,006,"Computer, engineering, and science occupations",Subtotal,True
S2412_C02_007,S2412,"Full-time, year-round",Male,007,Computer and mathematical occupations,Detail,True
S2412_C02_008,S2412,"Full-time, year-round",Male,008,Architecture and engineering occupations,Detail,True
S2412_C02_009,S2412,"Full-time, year-round",Male,009,"Life, physical, and social science occupations",Detail,True
S2412_C02_010,S2412,"Full-time, year-round",Male,010,"Education, legal, community service, arts, and media occupations",Subtotal,True
S2412_C02_011,S2412,"Full-time, year-round",Male,011,Community and social service occupations,Detail,True
S2412_C02_012,S2412,"Full-time, year-round",Male,012,Legal occupations,Detail,True
S2412_C02_013,S2412,"Full-time, year-round",Male,013,"Educational instruction, and library occupations",Detail,True
S2412_C02_014,S2412,"Full-time, year-round",Male,014,"Arts, design, entertainment, sports, and media occupations",Detail,True
S2412_C02_015,S2412,"Full-time, year-round",Male,015,Healthcare practitioners and technical occupations,Subtotal,True
S2412_C02_016,S2412,"Full-time, year-round",Male,016,Health diagnosing and treating practitioners and other technical occupations,Detail,True
S2412_C02_017,S2412,"Full-time, year-round",Male,017,Health technologists and technicians,Detail,True
S2412_C02_018,S2412,"Full-time, year-round",Male,018,Service occupations,Subtotal,True
S2412_C02_019,S2412,"Full-time, year-round",Male,019,Healthcare support occupations,Subtotal,True
S2412_C02_020,S2412,"Full-time, year-round",Male,020,Protective service occupations,Subtotal,True
S2412_C02_021,S2412,"Full-time, year-round",Male,021,"Firefighting and prevention, and other protective service workers including supervisors",Detail,True
S2412_C02_022,S2412,"Full-time, year-round",Male,022,Law enforcement workers including supervisors,Detail,True
S2412_C02_023,S2412,"Full-time, year-round",Male,023,Food preparation and serving related occupations,Subtotal,True
S2412_C02_024,S2412,"Full-time, year-round",Male,024,Building and grounds cleaning and maintenance occupations,Subtotal,True
S2412_C02_025,S2412,"Full-time, year-round",Male,025,Personal care and service occupations,Subtotal,True
S2412_C02_026,S2412,"Full-time, year-round",Male,026,Sales and office occupations,Subtotal,True
S2412_C02_027,S2412,"Full-time, year-round",Male,027,Sales and related occupations,Subtotal,True
S2412_C02_028,S2412,"Full-time, year-round",Male,028,Office and administrative support occupations,Subtotal,True
S2412_C02_029,S2412,"Full-time, year-round",Male,029,"Natural resources, construction, and maintenance occupations",Subtotal,True
S2412_C02_030,S2412,"Full-time, year-round",Male,030,"Farming, fishing, and forestry occupations",Subtotal,True
S2412_C02_031,S2412,"Full-time, year-round",Male,031,Construction and extraction occupations,Subtotal,True
S2412_C02_032,S2412,"Full-time, year-round",Male,032,"Installation, maintenance, and repair occupations",Subtotal,True
S2412_C02_033,S2412,"Full-time, year-round",Male,033,"Production, transportation, and material moving occupations",Subtotal,True
S2412_C02_034,S2412,"Full-time, year-round",Male,034,Production occupations,Subtotal,True
